,year,month,date,region,admin2_name,precipitation,season
190,2002,5,2002-05-01T00:00:00,Western and Rift Valley,Baringo,149.71666996110955,Long Rains
191,2002,6,2002-06-01T00:00:00,Western and Rift Valley,Baringo,64.09340842532981,Long Rains
192,2002,3,2002-03-01T00:00:00,Western and Rift Valley,Kajiado,96.70178320526618,Long Rains
193,2002,4,2002-04-01T00:00:00,Western and Rift Valley,Kajiado,115.20978748371574,Long Rains
194,2002,5,2002-05-01T00:00:00,Western and Rift Valley,Kajiado,75.92708729956377,Long Rains
195,2002,6,2002-06-01T00:00:00,Western and Rift Valley,Kajiado,4.059262020722892,Long Rains
196,2002,3,2002-03-01T00:00:00,Western and Rift Valley,Keiyo,117.30190411172623,Long Rains
197,2002,4,2002-04-01T00:00:00,Western and Rift Valley,Keiyo,151.03141870275212,Long Rains
198,2002,5,2002-05-01T00:00:00,Western and Rift Valley,Keiyo,236.47926476101313,Long Rains
199,2002,6,2002-06-01T00:00:00,Western and Rift Valley,Keiyo,99.09716322532942,Long Rains
200,2002,3,2002-03-01T00:00:00,Western and Rift Valley,Kericho,154.70567688478414,Long Rains
201,2002,4,2002-04-01T00:00:00,Western and Rift Valley,Kericho,162.2864910829725,Long Rains
202,2002,5,2002-05-01T00:00:00,Western and Rift Valley,Kericho,217.76080229667022,Long Rains
203,2002,6,2002-06-01T00:00:00,Western and Rift Valley,Kericho,104.04697072885976,Long Rains
204,2002,3,2002-03-01T00:00:00,Western and Rift Valley,Koibatek,116.84934049147884,Long Rains
205,2002,4,2002-04-01T00:00:00,Western and Rift Valley,Koibatek,140.52382540898253,Long Rains
206,2002,5,2002-05-01T00:00:00,Western and Rift Valley,Koibatek,154.30586964682027,Long Rains
207,2002,6,2002-06-01T00:00:00,Western and Rift Valley,Koibatek,77.5857614419425,Long Rains
208,2002,3,2002-03-01T00:00:00,Western and Rift Valley,Laikipia,93.43219767256186,Long Rains
209,2002,4,2002-04-01T00:00:00,Western and Rift Valley,Laikipia,129.54943805055984,Long Rains
210,2002,5,2002-05-01T00:00:00,Western and Rift Valley,Laikipia,109.51560318184721,Long Rains
211,2002,6,2002-06-01T00:00:00,Western and Rift Valley,Laikipia,31.273726474447052,Long Rains
212,2002,3,2002-03-01T00:00:00,Western and Rift Valley,Marakwet,114.67691958668422,Long Rains
213,2002,4,2002-04-01T00:00:00,Western and Rift Valley,Marakwet,118.51275423621544,Long Rains
214,2002,5,2002-05-01T00:00:00,Western and Rift Valley,Marakwet,229.94352931259237,Long Rains
215,2002,6,2002-06-01T00:00:00,Western and Rift Valley,Marakwet,99.76315610964974,Long Rains
216,2002,3,2002-03-01T00:00:00,Western and Rift Valley,Nakuru,115.46931020487175,Long Rains
217,2002,4,2002-04-01T00:00:00,Western and Rift Valley,Nakuru,155.55961369504118,Long Rains
218,2002,5,2002-05-01T00:00:00,Western and Rift Valley,Nakuru,143.03578070384316,Long Rains
219,2002,6,2002-06-01T00:00:00,Western and Rift Valley,Nakuru,61.2918901210438,Long Rains
220,2002,3,2002-03-01T00:00:00,Western and Rift Valley,Samburu,112.7764121676427,Long Rains
221,2002,4,2002-04-01T00:00:00,Western and Rift Valley,Samburu,155.05051805243704,Long Rains
222,2002,5,2002-05-01T00:00:00,Western and Rift Valley,Samburu,65.19710703971025,Long Rains
223,2002,6,2002-06-01T00:00:00,Western and Rift Valley,Samburu,15.21858045342437,Long Rains
224,2002,3,2002-03-01T00:00:00,Western and Rift Valley,Trans Nzoia,108.39358886540074,Long Rains
225,2002,4,2002-04-01T00:00:00,Western and Rift Valley,Trans Nzoia,135.69126051531794,Long Rains
226,2002,5,2002-05-01T00:00:00,Western and Rift Valley,Trans Nzoia,152.1660991874447,Long Rains
227,2002,6,2002-06-01T00:00:00,Western and Rift Valley,Trans Nzoia,110.23311967861862,Long Rains
228,2002,3,2002-03-01T00:00:00,Western and Rift Valley,Turkana,61.90463791358758,Long Rains
229,2002,4,2002-04-01T00:00:00,Western and Rift Valley,Turkana,52.30616641105892,Long Rains
230,2002,5,2002-05-01T00:00:00,Western and Rift Valley,Turkana,51.07244628400941,Long Rains
231,2002,6,2002-06-01T00:00:00,Western and Rift Valley,Turkana,16.644126266807252,Long Rains
232,2002,3,2002-03-01T00:00:00,Western and Rift Valley,Uasin Gishu,99.67685736168363,Long Rains
233,2002,4,2002-04-01T00:00:00,Western and Rift Valley,Uasin Gishu,129.8757087329583,Long Rains
234,2002,5,2002-05-01T00:00:00,Western and Rift Valley,Uasin Gishu,205.37660380902528,Long Rains
235,2002,6,2002-06-01T00:00:00,Western and Rift Valley,Uasin Gishu,94.006145352742,Long Rains
236,2002,3,2002-03-01T00:00:00,Western and Rift Valley,West Pokot,91.79413881453988,Long Rains
237,2002,4,2002-04-01T00:00:00,Western and Rift Valley,West Pokot,109.10558815169308,Long Rains
238,2002,5,2002-05-01T00:00:00,Western and Rift Valley,West Pokot,132.4839364052812,Long Rains
239,2002,6,2002-06-01T00:00:00,Western and Rift Valley,West Pokot,75.92842234458185,Long Rains
240,2003,3,2003-03-01T00:00:00,Western and Rift Valley,Vihiga,172.75648219796466,Long Rains
241,2003,4,2003-04-01T00:00:00,Western and Rift Valley,Vihiga,275.72959222459576,Long Rains
242,2003,5,2003-05-01T00:00:00,Western and Rift Valley,Vihiga,263.72492398216997,Long Rains
243,2003,6,2003-06-01T00:00:00,Western and Rift Valley,Vihiga,166.71286446550917,Long Rains
244,2003,3,2003-03-01T00:00:00,Western and Rift Valley,Narok,72.99880916142965,Long Rains
245,2003,4,2003-04-01T00:00:00,Western and Rift Valley,Narok,148.2044259295687,Long Rains
246,2003,5,2003-05-01T00:00:00,Western and Rift Valley,Narok,187.74343905513152,Long Rains
247,2003,6,2003-06-01T00:00:00,Western and Rift Valley,Narok,44.420764920876096,Long Rains
248,2003,3,2003-03-01T00:00:00,Western and Rift Valley,Trans Mara,104.72336674439569,Long Rains
249,2003,4,2003-04-01T00:00:00,Western and Rift Valley,Trans Mara,192.67152171638648,Long Rains
250,2003,5,2003-05-01T00:00:00,Western and Rift Valley,Trans Mara,129.22290840681325,Long Rains
251,2003,6,2003-06-01T00:00:00,Western and Rift Valley,Trans Mara,57.11277896168281,Long Rains
252,2003,3,2003-03-01T00:00:00,Western and Rift Valley,Bomet,108.47948621076162,Long Rains
253,2003,4,2003-04-01T00:00:00,Western and Rift Valley,Bomet,177.82552197684774,Long Rains
254,2003,5,2003-05-01T00:00:00,Western and Rift Valley,Bomet,189.9371264696656,Long Rains
255,2003,6,2003-06-01T00:00:00,Western and Rift Valley,Bomet,85.89102705673076,Long Rains
256,2003,3,2003-03-01T00:00:00,Western and Rift Valley,Buret,110.21955496051106,Long Rains
257,2003,4,2003-04-01T00:00:00,Western and Rift Valley,Buret,233.75798848553362,Long Rains
258,2003,5,2003-05-01T00:00:00,Western and Rift Valley,Buret,267.6770114070298,Long Rains
259,2003,6,2003-06-01T00:00:00,Western and Rift Valley,Buret,150.19161047878836,Long Rains
260,2003,3,2003-03-01T00:00:00,Western and Rift Valley,Nandi North,111.97473696063976,Long Rains
261,2003,4,2003-04-01T00:00:00,Western and Rift Valley,Nandi North,246.71428226494592,Long Rains
262,2003,5,2003-05-01T00:00:00,Western and Rift Valley,Nandi North,199.28074890153437,Long Rains
263,2003,6,2003-06-01T00:00:00,Western and Rift Valley,Nandi North,162.96471260703538,Long Rains
264,2003,3,2003-03-01T00:00:00,Western and Rift Valley,Nandi South,136.22274293372095,Long Rains
265,2003,4,2003-04-01T00:00:00,Western and Rift Valley,Nandi South,272.33858249104765,Long Rains
266,2003,5,2003-05-01T00:00:00,Western and Rift Valley,Nandi South,216.21594372578025,Long Rains
267,2003,6,2003-06-01T00:00:00,Western and Rift Valley,Nandi South,134.87510762557744,Long Rains
268,2003,3,2003-03-01T00:00:00,Western and Rift Valley,Baringo,68.00384325858855,Long Rains
269,2003,4,2003-04-01T00:00:00,Western and Rift Valley,Baringo,146.90061976822832,Long Rains
270,2003,5,2003-05-01T00:00:00,Western and Rift Valley,Baringo,199.37918554414432,Long Rains
271,2003,6,2003-06-01T00:00:00,Western and Rift Valley,Baringo,72.10325979066218,Long Rains
272,2003,3,2003-03-01T00:00:00,Western and Rift Valley,Kajiado,49.85999259473546,Long Rains
273,2003,4,2003-04-01T00:00:00,Western and Rift Valley,Kajiado,90.0733798622377,Long Rains
274,2003,5,2003-05-01T00:00:00,Western and Rift Valley,Kajiado,99.52800579336458,Long Rains
275,2003,6,2003-06-01T00:00:00,Western and Rift Valley,Kajiado,6.196427744318465,Long Rains
276,2003,3,2003-03-01T00:00:00,Western and Rift Valley,Keiyo,100.70052065506046,Long Rains
277,2003,4,2003-04-01T00:00:00,Western and Rift Valley,Keiyo,270.48153610666657,Long Rains
