,year,month,date,region,admin2_name,precipitation
791,2017,12,2017-12-01T00:00:00,Zambia,Kapiri-Mposhi,241.97802023641464
792,2018,1,2018-01-01T00:00:00,Zambia,Kapiri-Mposhi,83.5959891461309
793,2018,2,2018-02-01T00:00:00,Zambia,Kapiri-Mposhi,329.47641095331977
794,2018,3,2018-03-01T00:00:00,Zambia,Kapiri-Mposhi,216.64956459511896
802,2018,11,2018-11-01T00:00:00,Zambia,Kapiri-Mposhi,70.09403109726608
803,2018,12,2018-12-01T00:00:00,Zambia,Kapiri-Mposhi,151.84383749253965
804,2019,1,2019-01-01T00:00:00,Zambia,Kapiri-Mposhi,218.51246424508142
805,2019,2,2019-02-01T00:00:00,Zambia,Kapiri-Mposhi,171.71862056627495
806,2019,3,2019-03-01T00:00:00,Zambia,Kapiri-Mposhi,64.01357009051291
814,2019,11,2019-11-01T00:00:00,Zambia,Kapiri-Mposhi,95.7023279084818
815,2019,12,2019-12-01T00:00:00,Zambia,Kapiri-Mposhi,76.28064136293114
